id,Rout ID,Route,Bus stop name,Latitude,Longitude
110,0,Circulation line clockwise,______,34.940746,137.078221
112,0,Circulation line clockwise,___,34.943536,137.069101
113,0,Circulation line clockwise,________,34.945917,137.071971
114,0,Circulation line clockwise,____,34.948472,137.075048
115,0,Circulation line clockwise,____,34.950385,137.076939
116,0,Circulation line clockwise,__,34.95315,137.07828
117,0,Circulation line clockwise,__,34.955485,137.076496
118,0,Circulation line clockwise,_____,34.957921,137.073289
119,0,Circulation line clockwise,______,34.959745,137.073922
120,0,Circulation line clockwise,______,34.960092,137.075681
121,0,Circulation line clockwise,____,34.958453,137.078481
122,0,Circulation line clockwise,__________,34.959119,137.080866
123,0,Circulation line clockwise,_____,34.959851,137.083542
124,0,Circulation line clockwise,_____,34.958952,137.086672
125,0,Circulation line clockwise,____,34.956826,137.088448
126,0,Circulation line clockwise,____,34.95581,137.089513
127,0,Circulation line clockwise,___,34.954293,137.091072
128,0,Circulation line clockwise,____,34.952517,137.09244
129,0,Circulation line clockwise,__,34.952585,137.087719
130,0,Circulation line clockwise,____,34.949877,137.085777
131,0,Circulation line clockwise,_____,34.947522,137.084076
132,0,Circulation line clockwise,______,34.940746,137.078221
134,0,Circulation line clockwise,___,34.943536,137.069101
135,0,Circulation line clockwise,________,34.945917,137.071971
136,0,Circulation line clockwise,____,34.948472,137.075048
137,0,Circulation line clockwise,____,34.950385,137.076939
138,0,Circulation line clockwise,__,34.95315,137.07828
139,0,Circulation line clockwise,__,34.955485,137.076496
140,0,Circulation line clockwise,_____,34.957921,137.073289
141,0,Circulation line clockwise,______,34.959745,137.073922
142,0,Circulation line clockwise,______,34.960092,137.075681
143,0,Circulation line clockwise,____,34.958453,137.078481
144,0,Circulation line clockwise,__________,34.959119,137.080866
145,0,Circulation line clockwise,_____,34.959851,137.083542
146,0,Circulation line clockwise,_____,34.958952,137.086672
147,0,Circulation line clockwise,____,34.956826,137.088448
148,0,Circulation line clockwise,____,34.95581,137.089513
149,0,Circulation line clockwise,___,34.954293,137.091072
150,0,Circulation line clockwise,____,34.952517,137.09244
151,0,Circulation line clockwise,__,34.952585,137.087719
152,0,Circulation line clockwise,____,34.949877,137.085777
153,0,Circulation line clockwise,_____,34.947522,137.084076
154,0,Circulation line clockwise,______,34.940746,137.078221
156,0,Circulation line clockwise,___,34.943536,137.069101
157,0,Circulation line clockwise,________,34.945917,137.071971
158,0,Circulation line clockwise,____,34.948472,137.075048
159,0,Circulation line clockwise,____,34.950385,137.076939
160,0,Circulation line clockwise,__,34.95315,137.07828
161,0,Circulation line clockwise,__,34.955485,137.076496
162,0,Circulation line clockwise,_____,34.957921,137.073289
163,0,Circulation line clockwise,______,34.959745,137.073922
164,0,Circulation line clockwise,______,34.960092,137.075681
165,0,Circulation line clockwise,____,34.958453,137.078481
166,0,Circulation line clockwise,__________,34.959119,137.080866
167,0,Circulation line clockwise,_____,34.959851,137.083542
168,0,Circulation line clockwise,_____,34.958952,137.086672
169,0,Circulation line clockwise,____,34.956826,137.088448
170,0,Circulation line clockwise,____,34.95581,137.089513
171,0,Circulation line clockwise,___,34.954293,137.091072
172,0,Circulation line clockwise,____,34.952517,137.09244
173,0,Circulation line clockwise,__,34.952585,137.087719
174,0,Circulation line clockwise,____,34.949877,137.085777
175,0,Circulation line clockwise,_____,34.947522,137.084076
176,0,Circulation line clockwise,______,34.940746,137.078221
178,0,Circulation line clockwise,___,34.943536,137.069101
179,0,Circulation line clockwise,________,34.945917,137.071971
180,0,Circulation line clockwise,____,34.948472,137.075048
181,0,Circulation line clockwise,____,34.950385,137.076939
182,0,Circulation line clockwise,__,34.95315,137.07828
183,0,Circulation line clockwise,__,34.955485,137.076496
184,0,Circulation line clockwise,_____,34.957921,137.073289
185,0,Circulation line clockwise,______,34.959745,137.073922
186,0,Circulation line clockwise,______,34.960092,137.075681
187,0,Circulation line clockwise,____,34.958453,137.078481
188,0,Circulation line clockwise,__________,34.959119,137.080866
189,0,Circulation line clockwise,_____,34.959851,137.083542
190,0,Circulation line clockwise,_____,34.958952,137.086672
191,0,Circulation line clockwise,____,34.956826,137.088448
192,0,Circulation line clockwise,____,34.95581,137.089513
193,0,Circulation line clockwise,___,34.954293,137.091072
194,0,Circulation line clockwise,____,34.952517,137.09244
195,0,Circulation line clockwise,__,34.952585,137.087719
196,0,Circulation line clockwise,____,34.949877,137.085777
197,0,Circulation line clockwise,_____,34.947522,137.084076
198,0,Circulation line clockwise,______,34.940746,137.078221
200,0,Circulation line clockwise,___,34.943536,137.069101
201,0,Circulation line clockwise,________,34.945917,137.071971
202,0,Circulation line clockwise,____,34.948472,137.075048
203,0,Circulation line clockwise,____,34.950385,137.076939
204,0,Circulation line clockwise,__,34.95315,137.07828
205,0,Circulation line clockwise,__,34.955485,137.076496
206,0,Circulation line clockwise,_____,34.957921,137.073289
207,0,Circulation line clockwise,______,34.959745,137.073922
208,0,Circulation line clockwise,______,34.960092,137.075681
209,0,Circulation line clockwise,____,34.958453,137.078481
210,0,Circulation line clockwise,__________,34.959119,137.080866
211,0,Circulation line clockwise,_____,34.959851,137.083542
212,0,Circulation line clockwise,_____,34.958952,137.086672
213,0,Circulation line clockwise,____,34.956826,137.088448
214,0,Circulation line clockwise,____,34.95581,137.089513
215,0,Circulation line clockwise,___,34.954293,137.091072
216,0,Circulation line clockwise,____,34.952517,137.09244
217,0,Circulation line clockwise,__,34.952585,137.087719
218,0,Circulation line clockwise,____,34.949877,137.085777
219,0,Circulation line clockwise,_____,34.947522,137.084076
220,0,Circulation line clockwise,______,34.940746,137.078221
222,0,Circulation line clockwise,___,34.943536,137.069101
223,0,Circulation line clockwise,________,34.945917,137.071971
224,0,Circulation line clockwise,____,34.948472,137.075048
225,0,Circulation line clockwise,____,34.950385,137.076939
226,0,Circulation line clockwise,__,34.95315,137.07828
227,0,Circulation line clockwise,__,34.955485,137.076496
228,0,Circulation line clockwise,_____,34.957921,137.073289
229,0,Circulation line clockwise,______,34.959745,137.073922
230,0,Circulation line clockwise,______,34.960092,137.075681
231,0,Circulation line clockwise,____,34.958453,137.078481
232,0,Circulation line clockwise,__________,34.959119,137.080866
233,0,Circulation line clockwise,_____,34.959851,137.083542
234,0,Circulation line clockwise,_____,34.958952,137.086672
235,0,Circulation line clockwise,____,34.956826,137.088448
236,0,Circulation line clockwise,____,34.95581,137.089513
237,0,Circulation line clockwise,___,34.954293,137.091072
