row_i,rsrv_no,station_in,station_name_in,station_out,station_name_out,veh_type,veh_reg,veh_no,trip_duration,enrg_used,age_driver,id,gender,profes,time_rsrv,time_dep,time_pln_arr,time_in,time_out,lat_in,lng_in,lat_out,lng_out,commute,tempCelcius,rainfall-mm
33,USR-07348,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み405,405,39.5166666667,303.6762,52,042e6592752f80,male_男性,office_worker_会社員,2016-05-09 11:00:00,2016-05-09 11:00:00,2016-05-09 13:00:00,2016-05-09 11:00:00,2016-05-09 11:00:00,34.95951,137.087292,34.95951,137.087292,errand,19.3,0.0
34,USR-07349,STN-00236,サークルK安城警察署西店,STN-00237,サークルK安城篠目童子店,P-COM,安城市0み430,430,9.76666666667,225.7487,54,04393d92752f80,male_男性,office_worker_会社員,2016-05-09 11:00:00,2016-05-09 11:00:00,2016-05-09 12:00:00,2016-05-09 11:00:00,2016-05-09 11:00:00,34.95937554,137.0719136,34.97129268,137.0651927,commute,19.3,0.0
35,USR-07320,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み417,417,12.5166666667,78.6211,58,04bb6f92752f80,female_女性,office_worker_会社員,2016-05-07 18:00:00,2016-05-07 18:00:00,2016-05-07 19:00:00,2016-05-07 18:00:00,2016-05-07 18:00:00,34.95951,137.087292,34.95951,137.087292,errand,20.8,0.0
36,USR-07321,STN-00252,作野公民館,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み430,430,12.8333333333,211.2214,42,04db3f92752f80,male_男性,office_worker_会社員,2016-05-07 18:00:00,2016-05-07 18:00:00,2016-05-07 20:00:00,2016-05-07 19:00:00,2016-05-07 19:00:00,34.978583,137.077746,34.95951,137.087292,commute,20.8,0.0
37,USR-07317,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み415,415,55.7666666667,1224.8232,23,044b8992752f80,male_男性,student_学生,2016-05-07 11:00:00,2016-05-07 11:00:00,2016-05-07 13:00:00,2016-05-07 11:00:00,2016-05-07 12:00:00,34.95951,137.087292,34.95951,137.087292,errand,18.1,0.0
38,USR-07316,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み414,414,1.03333333333,0.0,23,044b8992752f80,male_男性,student_学生,2016-05-07 11:00:00,2016-05-07 11:00:00,2016-05-07 12:00:00,2016-05-07 11:00:00,2016-05-07 11:00:00,34.95951,137.087292,34.95951,137.087292,errand,18.1,0.0
39,USR-07315,STN-00256,三河安城駅北,STN-00237,サークルK安城篠目童子店,P-COM,安城市0み403,403,21.65,467.6242,54,04393d92752f80,male_男性,office_worker_会社員,2016-05-07 11:00:00,2016-05-07 11:00:00,2016-05-07 12:00:00,2016-05-07 11:00:00,2016-05-07 11:00:00,,,34.97129268,137.0651927,commute,18.1,0.0
40,USR-07281,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み416,416,76.5166666667,559.8752,36,04a12582973b84,,,2016-05-03 13:00:00,2016-05-03 13:00:00,2016-05-03 14:00:00,2016-05-03 13:00:00,2016-05-03 14:00:00,34.95951,137.087292,34.95951,137.087292,errand,22.3,0.0
41,USR-07280,STN-00204,ＪＲ安城駅前第１駐車場,STN-00204,ＪＲ安城駅前第１駐車場,P-COM,安城市0み420,420,130.333333333,904.2682,44,0401d4928f3681,female_女性,office_worker_会社員,2016-05-03 12:00:00,2016-05-03 12:00:00,2016-05-03 15:00:00,2016-05-03 12:00:00,2016-05-03 14:00:00,34.95951,137.087292,34.95951,137.087292,errand,21.0,0.0
42,USR-07279,STN-00247,八千代病院,STN-00256,三河安城駅北,P-COM,安城市0み428,428,7.93333333333,161.6669,47,0493c582973b80,male_男性,office_worker_会社員,2016-05-03 12:00:00,2016-05-03 12:00:00,2016-05-03 13:00:00,2016-05-03 12:00:00,2016-05-03 12:00:00,34.986649,137.080223,,,commute,21.0,0.0
